"AngleOfAttack";"Iteration";"CLift";"CDrag";"CSideForce";"CMx";"CMy";"CMz";"CFx";"CFy";"CFz";"CL/CD";"Res_Flow[0]";"Res_Flow[1]";"Res_Flow[2]";"Res_Flow[3]";"Res_Flow[4]";"Linear_Solver_Iterations";"CFL_Number";"Time(min)"
-01;         475; 0,2786502653; 0,0023558146; 0,0000000000; 0,0000000000; 0,0000000000; 0,0826334471; 0,0072185734; 0,2785667109; 0,0000000000; 118,2819179469; -10,3881644759; -10,1608810754; -9,9084449665; -9,9043339012; 0,0000000000; 5,0000000000; 5,0000000000; 1,9754833333
-02;         477; 0,1592768788; 0,0026293709; 0,0000000000; 0,0000000000; 0,0000000000; 0,0812350477; 0,0081864520; 0,1590880879; 0,0000000000; 60,5760412416; -10,3871413911; -10,1042372835; -9,9253902222; -9,9028929362; 0,0000000000; 5,0000000000; 5,0000000000; 1,9879666667
-03;         508; 0,0399748503; 0,0030120931; 0,0000000000; 0,0000000000; 0,0000000000; 0,0798550932; 0,0051000871; 0,0397624254; 0,0000000000; 13,2714526061; -10,5826531385; -10,2007982497; -10,1522234484; -10,0748257509; 0,0000000000; 5,0000000000; 5,0000000000; 2,1252333333
-04;         626; -0,0790567426; 0,0035065169; 0,0000000000; 0,0000000000; 0,0000000000; 0,0785124276; -0,0020167444; -0,0791087666; 0,0000000000; -22,5456612587; -11,4147092322; -10,9039714372; -11,0018806660; -10,8768766142; 0,0000000000; 5,0000000000; 5,0000000000; 2,6148166667
00;         487; 0,3979439547; 0,0021913412; 0,0000000000; 0,0000000000; 0,0000000000; 0,0840418418; 0,0021913412; 0,3979439547; 0,0000000000; 181,5983567700; -10,4880928367; -10,2381363872; -9,9790254246; -9,9912925393; 0,0000000000; 5,0000000000; 5,0000000000; 2,0524333333
01;         543; 0,5170852411; 0,0021341761; 0,0000000000; 0,0000000000; 0,0000000000; 0,0854616232; -0,0068905307; 0,5170437331; 0,0000000000; 242,2879884429; -10,9275337195; -10,5692487960; -10,4062300810; -10,4053995687; 0,0000000000; 5,0000000000; 5,0000000000; 2,2947666667
02;         606; 0,6360440676; 0,0021817918; 0,0000000000; 0,0000000000; 0,0000000000; 0,0868966597; -0,0200171552; 0,6357327502; 0,0000000000; 291,5237274182; -11,2984116007; -10,8801686647; -10,8088716403; -10,7639558717; 0,0000000000; 5,0000000000; 5,0000000000; 2,5675000000
03;         649; 0,7547671315; 0,0023308346; 0,0000000000; 0,0000000000; 0,0000000000; 0,0883464352; -0,0371738193; 0,7538547358; 0,0000000000; 323,8184016654; -11,4950676347; -11,0052366833; -11,0515183297; -10,9566957298; 0,0000000000; 5,0000000000; 5,0000000000; 2,7362500000
04;         682; 0,8731487637; 0,0025823606; 0,0000000000; 0,0000000000; 0,0000000000; 0,0898028934; -0,0583317087; 0,8712019535; 0,0000000000; 338,1203906919; -11,5873705614; -11,0548241241; -11,2056376327; -11,0456134605; 0,0000000000; 5,0000000000; 5,0000000000; 2,8867833333
05;         713; 0,9910863846; 0,0029359158; 0,0000000000; 0,0000000000; 0,0000000000; 0,0912587256; -0,0834541263; 0,9875708836; 0,0000000000; 337,5731683241; -11,6597630712; -11,0833413698; -11,3509816909; -11,1167771450; 0,0000000000; 5,0000000000; 5,0000000000; 3,0178166667
06;         742; 1,1084976149; 0,0033955673; 0,0000000000; 0,0000000000; 0,0000000000; 0,0927115879; -0,1124925862; 1,1027800824; 0,0000000000; 326,4543205322; -11,6899597241; -11,1015105308; -11,4179887229; -11,1455420285; 0,0000000000; 5,0000000000; 5,0000000000; 3,1314333333
07;         770; 1,2252505124; 0,0039645515; 0,0000000000; 0,0000000000; 0,0000000000; 0,0941566072; -0,1453854751; 1,2166008382; 0,0000000000; 309,0514795636; -11,7190719740; -11,1208546953; -11,4915748749; -11,1743055406; 0,0000000000; 5,0000000000; 5,0000000000; 3,2622166667
08;         800; 1,3411376179; 0,0046455270; 0,0000000000; 0,0000000000; 0,0000000000; 0,0955807097; -0,1820499640; 1,3287322911; 0,0000000000; 288,6943955678; -11,7669017922; -11,1658149485; -11,5528796425; -11,2219339081; 0,0000000000; 5,0000000000; 5,0000000000; 3,3740333333
09;         826; 1,4558905147; 0,0054420415; 0,0000000000; 0,0000000000; 0,0000000000; 0,0969613919; -0,2223764129; 1,4388174094; 0,0000000000; 267,5265389796; -11,8012301332; -11,1971208364; -11,6056689458; -11,2562363272; 0,0000000000; 5,0000000000; 5,0000000000; 3,5081833333
10;         852; 1,5692496809; 0,0063598844; 0,0000000000; 0,0000000000; 0,0000000000; 0,0982717166; -0,2662340839; 1,5465136345; 0,0000000000; 246,7418562229; -11,8411852889; -11,2376543552; -11,6439460179; -11,2962913352; 0,0000000000; 5,0000000000; 5,0000000000; 3,5817666667
11;         876; 1,6810299217; 0,0074062148; 0,0000000000; 0,0000000000; 0,0000000000; 0,0994863569; -0,3134854888; 1,6515578397; 0,0000000000; 226,9755827329; -11,8733673552; -11,2672233146; -11,6830668183; -11,3285851508; 0,0000000000; 5,0000000000; 5,0000000000; 3,6639166667
12;         899; 1,7911389365; 0,0085914691; 0,0000000000; 0,0000000000; 0,0000000000; 0,1005851866; -0,3639949999; 1,7537845202; 0,0000000000; 208,4787732495; -11,8929649714; -11,2867420848; -11,6985278961; -11,3483467667; 0,0000000000; 5,0000000000; 5,0000000000; 3,7827500000
