"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -0.2311347800, 0.6160300915, 0.0000000000, 0.0000000000, 0.0000000000, 0.1685197509, 0.6119024090, -0.2418507846, 0.0000000000, -0.3752004702, -4.7434375963, -6.0261797881, -7.7842583195, -4.1992007996, 0.0000000000, 5.0000000000, 5.0000000000, 0.0039000000
           1, 0.1119393665, -0.0078504438, 0.0000000000, 0.0000000000, 0.0000000000, 0.0586683469, -0.0058956368, 0.1120593267, 0.0000000000, -14.2589857495, -4.7197723498, -5.1165008671, -4.9737091957, -4.1688401918, 0.0000000000, 5.0000000000, 5.0000000000, 0.0091000000
           2, 0.1393281220, 0.0580854560, 0.0000000000, 0.0000000000, 0.0000000000, 0.0734304402, 0.0605082203, 0.1382931707, 0.0000000000, 2.3986748425, -5.1400266074, -5.4000653862, -5.2422144042, -4.5895007631, 0.0000000000, 5.0000000000, 5.0000000000, 0.0130000000
           3, 0.1506484322, 0.0194208301, 0.0000000000, 0.0000000000, 0.0000000000, 0.0553738560, 0.0220470499, 0.1502865475, 0.0000000000, 7.7570542318, -5.5630511207, -5.7121424971, -5.6428272044, -5.0261353683, 0.0000000000, 5.0000000000, 5.0000000000, 0.0171666667
           4, 0.1496451634, 0.0187205631, 0.0000000000, 0.0000000000, 0.0000000000, 0.0600910366, 0.0213293801, 0.1492956529, 0.0000000000, 7.9936251109, -5.9411553144, -6.0031771472, -5.9465115401, -5.3992936937, 0.0000000000, 5.0000000000, 5.0000000000, 0.0213166667
           5, 0.1545237054, 0.0158971914, 0.0000000000, 0.0000000000, 0.0000000000, 0.0615433221, 0.0185915807, 0.1542227265, 0.0000000000, 9.7201890371, -6.1818943198, -6.1816809400, -6.1365520469, -5.6449696568, 0.0000000000, 5.0000000000, 5.0000000000, 0.0254833333
           6, 0.1582022821, 0.0155750186, 0.0000000000, 0.0000000000, 0.0000000000, 0.0659467324, 0.0183336570, 0.1579063655, 0.0000000000, 10.1574377306, -6.4307322626, -6.3061901993, -6.2595118952, -5.9057146356, 0.0000000000, 5.0000000000, 5.0000000000, 0.0296333333
           7, 0.1605991964, 0.0150379433, 0.0000000000, 0.0000000000, 0.0000000000, 0.0687011034, 0.0178384954, 0.1603122881, 0.0000000000, 10.6795984701, -6.5682017498, -6.3485495717, -6.2989683355, -6.0501131987, 0.0000000000, 5.0000000000, 5.0000000000, 0.0340666667
           8, 0.1624035135, 0.0146865610, 0.0000000000, 0.0000000000, 0.0000000000, 0.0708040874, 0.0175186563, 0.1621224628, 0.0000000000, 11.0579674544, -6.6375093685, -6.3638219107, -6.3102639340, -6.1212999456, 0.0000000000, 5.0000000000, 5.0000000000, 0.0382166667
           9, 0.1650049349, 0.0143435649, 0.0000000000, 0.0000000000, 0.0000000000, 0.0727303290, 0.0172211135, 0.1647294741, 0.0000000000, 11.5037604406, -6.6667851158, -6.3689154444, -6.3121078234, -6.1476626114, 0.0000000000, 5.0000000000, 5.0000000000, 0.0423833333
          10, 0.1687257506, 0.0140264752, 0.0000000000, 0.0000000000, 0.0000000000, 0.0748572616, 0.0169690093, 0.1684552571, 0.0000000000, 12.0290913039, -6.6763312429, -6.3709836304, -6.3110812662, -6.1545266124, 0.0000000000, 5.0000000000, 5.0000000000, 0.0462833333
          11, 0.1733013806, 0.0136811842, 0.0000000000, 0.0000000000, 0.0000000000, 0.0770046107, 0.0167036266, 0.1730362164, 0.0000000000, 12.6671331027, -6.6815457636, -6.3715047013, -6.3088027455, -6.1582724447, 0.0000000000, 5.0000000000, 5.0000000000, 0.0504333333
          12, 0.1783130888, 0.0132584167, 0.0000000000, 0.0000000000, 0.0000000000, 0.0789311272, 0.0163683899, 0.1780545396, 0.0000000000, 13.4490484794, -6.6854439339, -6.3713321424, -6.3064482044, -6.1613022025, 0.0000000000, 5.0000000000, 5.0000000000, 0.0546000000
          13, 0.1835035734, 0.0127305974, 0.0000000000, 0.0000000000, 0.0000000000, 0.0805140023, 0.0159312374, 0.1832534454, 0.0000000000, 14.4143725363, -6.6896068578, -6.3711813988, -6.3047066304, -6.1649488450, 0.0000000000, 5.0000000000, 5.0000000000, 0.0587666667
          14, 0.1887942368, 0.0121058731, 0.0000000000, 0.0000000000, 0.0000000000, 0.0817689245, 0.0153989431, 0.1885542059, 0.0000000000, 15.5952598047, -6.6943072751, -6.3714751815, -6.3039123021, -6.1693784343, 0.0000000000, 5.0000000000, 5.0000000000, 0.0629166667
          15, 0.1941778575, 0.0114079427, 0.0000000000, 0.0000000000, 0.0000000000, 0.0827552153, 0.0147950761, 0.1939491872, 0.0000000000, 17.0212862337, -6.6997603663, -6.3723857164, -6.3041909247, -6.1747365543, 0.0000000000, 5.0000000000, 5.0000000000, 0.0670833333
          16, 0.1996186431, 0.0106572859, 0.0000000000, 0.0000000000, 0.0000000000, 0.0835112743, 0.0141394884, 0.1994022449, 0.0000000000, 18.7307204910, -6.7058996667, -6.3739240192, -6.3055408313, -6.1808933416, 0.0000000000, 5.0000000000, 5.0000000000, 0.0712333333
          17, 0.2050322099, 0.0098717734, 0.0000000000, 0.0000000000, 0.0000000000, 0.0840465208, 0.0134485754, 0.2048286963, 0.0000000000, 20.7695417216, -6.7124780121, -6.3760231190, -6.3078459131, -6.1875625462, 0.0000000000, 5.0000000000, 5.0000000000, 0.0751333333
          18, 0.2103228374, 0.0090647263, 0.0000000000, 0.0000000000, 0.0000000000, 0.0843636603, 0.0127339853, 0.2101326030, 0.0000000000, 23.2023373652, -6.7191958019, -6.3785771004, -6.3108943233, -6.1944190510, 0.0000000000, 5.0000000000, 5.0000000000, 0.0793000000
          19, 0.2154110988, 0.0082514244, 0.0000000000, 0.0000000000, 0.0000000000, 0.0844768683, 0.0120096097, 0.2152342835, 0.0000000000, 26.1059288336, -6.7257670392, -6.3814539392, -6.3144133581, -6.2011517827, 0.0000000000, 5.0000000000, 5.0000000000, 0.0834666667
          20, 0.2202449893, 0.0074478202, 0.0000000000, 0.0000000000, 0.0000000000, 0.0844132475, 0.0112904909, 0.2200814625, 0.0000000000, 29.5717382335, -6.7319537179, -6.3845066481, -6.3181091030, -6.2074954422, 0.0000000000, 5.0000000000, 5.0000000000, 0.0876166667
          21, 0.2247909228, 0.0066697279, 0.0000000000, 0.0000000000, 0.0000000000, 0.0842054689, 0.0105918546, 0.2246402832, 0.0000000000, 33.7031625715, -6.7375930452, -6.3875892833, -6.3217037307, -6.2132645616, 0.0000000000, 5.0000000000, 5.0000000000, 0.0923000000
          22, 0.2290232300, 0.0059313205, 0.0000000000, 0.0000000000, 0.0000000000, 0.0838855818, 0.0099274236, 0.2288848328, 0.0000000000, 38.6125199191, -6.7426115174, -6.3905758786, -6.3249694896, -6.2183713266, 0.0000000000, 5.0000000000, 5.0000000000, 0.0962000000
          23, 0.2329220761, 0.0052441410, 0.0000000000, 0.0000000000, 0.0000000000, 0.0834827490, 0.0093083930, 0.2327950781, 0.0000000000, 44.4156780322, -6.7470240996, -6.3933755594, -6.3277531125, -6.2228245781, 0.0000000000, 5.0000000000, 5.0000000000, 0.1003666667
          24, 0.2364744837, 0.0046171546, 0.0000000000, 0.0000000000, 0.0000000000, 0.0830238678, 0.0087435002, 0.2363578870, 0.0000000000, 51.2164967655, -6.7509243613, -6.3959409765, -6.3299887097, -6.2267198282, 0.0000000000, 5.0000000000, 5.0000000000, 0.1045166667
          25, 0.2396760449, 0.0040570819, 0.0000000000, 0.0000000000, 0.0000000000, 0.0825343152, 0.0082393877, 0.2395687352, 0.0000000000, 59.0759697824, -6.7544627736, -6.3982710471, -6.3316977035, -6.2302158642, 0.0000000000, 5.0000000000, 5.0000000000, 0.1089333333
          26, 0.2425308581, 0.0035682189, 0.0000000000, 0.0000000000, 0.0000000000, 0.0820376274, 0.0078004226, 0.2424316455, 0.0000000000, 67.9697244816, -6.7578196628, -6.4004079688, -6.3329758453, -6.2335057422, 0.0000000000, 5.0000000000, 5.0000000000, 0.1131000000
          27, 0.2450498779, 0.0031528880, 0.0000000000, 0.0000000000, 0.0000000000, 0.0815546551, 0.0074291179, 0.2449575301, 0.0000000000, 77.7223536630, -6.7611738533, -6.4024291199, -6.3339700726, -6.2367828013, 0.0000000000, 5.0000000000, 5.0000000000, 0.1172666667
          28, 0.2472483971, 0.0028113873, 0.0000000000, 0.0000000000, 0.0000000000, 0.0811028291, 0.0071260386, 0.2471616745, 0.0000000000, 87.9453342649, -6.7646781333, -6.4044362823, -6.3348505256, -6.2402136225, 0.0000000000, 5.0000000000, 5.0000000000, 0.1211666667
          29, 0.2491463329, 0.0025419791, 0.0000000000, 0.0000000000, 0.0000000000, 0.0806958515, 0.0068897950, 0.2490640230, 0.0000000000, 98.0127392477, -6.7684434377, -6.4065428642, -6.3357834207, -6.2439203088, 0.0000000000, 5.0000000000, 5.0000000000, 0.1253166667
          30, 0.2507658010, 0.0023413456, 0.0000000000, 0.0000000000, 0.0000000000, 0.0803436500, 0.0067174557, 0.2506867460, 0.0000000000, 107.1032845656, -6.7725326531, -6.4088618013, -6.3369098229, -6.2479728552, 0.0000000000, 5.0000000000, 5.0000000000, 0.1294833333
          31, 0.2521311151, 0.0022047557, 0.0000000000, 0.0000000000, 0.0000000000, 0.0800526876, 0.0066047146, 0.2520542360, 0.0000000000, 114.3578470328, -6.7769616626, -6.4114957007, -6.3383309337, -6.2523894934, 0.0000000000, 5.0000000000, 5.0000000000, 0.1336333333
          32, 0.2532673028, 0.0021268730, 0.0000000000, 0.0000000000, 0.0000000000, 0.0798261726, 0.0065466729, 0.2531916099, 0.0000000000, 119.0796561452, -6.7817073319, -6.4145291148, -6.3401017323, -6.2571450712, 0.0000000000, 5.0000000000, 5.0000000000, 0.1378000000
          33, 0.2542018573, 0.0020997686, 0.0000000000, 0.0000000000, 0.0000000000, 0.0796642987, 0.0065358829, 0.2541264951, 0.0000000000, 121.0618442790, -6.7867191086, -6.4180235112, -6.3422313879, -6.2621830807, 0.0000000000, 5.0000000000, 5.0000000000, 0.1417000000
          34, 0.2549595905, 0.0021168309, 0.0000000000, 0.0000000000, 0.0000000000, 0.0795646152, 0.0065661669, 0.2548838151, 0.0000000000, 120.4440023762, -6.7919334298, -6.4220154104, -6.3446908713, -6.2674308852, 0.0000000000, 5.0000000000, 5.0000000000, 0.1458666667
