"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 0.2056536755, 0.5922693271, 0.0000000000, 0.0000000000, 0.0000000000, 0.2147812699, 0.5806945608, 0.2363688158, 0.0000000000, 0.3472299950, -4.7172236065, -6.0004952419, -7.2810994845, -4.1729868098, 0.0000000000, 5.0000000000, 5.0000000000, 0.0041666667
           1, 0.2455967863, -0.0052710695, 0.0000000000, 0.0000000000, 0.0000000000, 0.0364322472, -0.0181173884, 0.2449843380, 0.0000000000, -46.5933497348, -4.6898526838, -5.0872042172, -4.9335481437, -4.1394246122, 0.0000000000, 5.0000000000, 5.0000000000, 0.0098833333
           2, 0.3344070254, 0.0653413377, 0.0000000000, 0.0000000000, 0.0000000000, 0.0652606818, 0.0477502782, 0.3373684336, 0.0000000000, 5.1178478650, -5.1090929258, -5.3787755240, -5.2014734868, -4.5584477905, 0.0000000000, 5.0000000000, 5.0000000000, 0.0143000000
           3, 0.3100513267, 0.0225630436, 0.0000000000, 0.0000000000, 0.0000000000, 0.0352794930, 0.0063052891, 0.3108072706, 0.0000000000, 13.7415559799, -5.5240682196, -5.6617559981, -5.5846873186, -4.9858823940, 0.0000000000, 5.0000000000, 5.0000000000, 0.0184666667
           4, 0.3350617745, 0.0237676887, 0.0000000000, 0.0000000000, 0.0000000000, 0.0468367851, 0.0061993375, 0.3358464887, 0.0000000000, 14.0973646579, -5.8958190481, -5.9177522860, -5.8588186476, -5.3554276793, 0.0000000000, 5.0000000000, 5.0000000000, 0.0228833333
           5, 0.3567076626, 0.0217965425, 0.0000000000, 0.0000000000, 0.0000000000, 0.0515605792, 0.0030980344, 0.3573595500, 0.0000000000, 16.3653324079, -6.1061520692, -6.0491368497, -5.9912440225, -5.5705604134, 0.0000000000, 5.0000000000, 5.0000000000, 0.0270333333
           6, 0.3835843410, 0.0227622999, 0.0000000000, 0.0000000000, 0.0000000000, 0.0603969406, 0.0026558516, 0.3842499387, 0.0000000000, 16.8517392070, -6.3036501238, -6.1159545358, -6.0489509912, -5.7749222195, 0.0000000000, 5.0000000000, 5.0000000000, 0.0309333333
           7, 0.4068041926, 0.0231098001, 0.0000000000, 0.0000000000, 0.0000000000, 0.0664063154, 0.0017876425, 0.4074561550, 0.0000000000, 17.6031030252, -6.3813363724, -6.1272851350, -6.0601321176, -5.8530019492, 0.0000000000, 5.0000000000, 5.0000000000, 0.0351000000
           8, 0.4282625175, 0.0234070456, 0.0000000000, 0.0000000000, 0.0000000000, 0.0712972832, 0.0009614387, 0.4289006287, 0.0000000000, 18.2963080770, -6.4140333127, -6.1250951866, -6.0618913726, -5.8851169020, 0.0000000000, 5.0000000000, 5.0000000000, 0.0392666667
           9, 0.4491189023, 0.0236498724, 0.0000000000, 0.0000000000, 0.0000000000, 0.0756388313, 0.0001123938, 0.4497411392, 0.0000000000, 18.9903308954, -6.4274208178, -6.1200037596, -6.0617721576, -5.8966478266, 0.0000000000, 5.0000000000, 5.0000000000, 0.0434166667
