"AngleOfAttack";"Iteration";"CLift";"CDrag";"CSideForce";"CMx";"CMy";"CMz";"CFx";"CFy";"CFz";"CL/CD";"Res_Flow[0]";"Res_Flow[1]";"Res_Flow[2]";"Res_Flow[3]";"Res_Flow[4]";"Linear_Solver_Iterations";"Time(min)"
-1,00;         999; 0,2773917600; 0,0023769755; 0,0000000000; 0,0000000000; 0,0000000000; 0,0824969253; 0,0072177672; 0,2773080279; 0,0000000000; 116,6994607676; -7,3458160113; -4,2373016527; -4,5705118594; -1,8844423420; 0,0000000000; 5,0000000000; 7,2821883475
-2,00;         999; 0,1586242200; 0,0026338191; 0,0000000000; 0,0000000000; 0,0000000000; 0,0811578508; 0,0081681201; 0,1584356715; 0,0000000000; 60,2259355185; -7,6732408091; -4,6210090698; -4,7748718863; -2,2159322893; 0,0000000000; 5,0000000000; 6,3670062696
-3,00;         999; 0,0400101334; 0,0030122558; 0,0000000000; 0,0000000000; 0,0000000000; 0,0798478113; 0,0051020962; 0,0397976516; 0,0000000000; 13,2824489515; -7,7889017104; -4,7016276370; -4,8305365159; -2,3326953554; 0,0000000000; 5,0000000000; 6,6024971545
-4,00;         999; -0,0782199538; 0,0035173795; 0,0000000000; 0,0000000000; 0,0000000000; 0,0785877867; -0,0019475368; -0,0782747739; 0,0000000000; -22,2381331988; -7,3884994786; -4,2571559548; -4,6124950213; -1,9263022209; 0,0000000000; 5,0000000000; 6,3856031427
0,00;         999; 0,3960869076; 0,0022408956; 0,0000000000; 0,0000000000; 0,0000000000; 0,0838451511; 0,0022408956; 0,3960869076; 0,0000000000; 176,7538399062; -7,1495789446; -4,0263288436; -4,4079306264; -1,6874440095; 0,0000000000; 5,0000000000; 3,6186664186
1,00;         999; 0,5145538492; 0,0022252144; 0,0000000000; 0,0000000000; 0,0000000000; 0,0851925894; -0,0067553274; 0,5145143155; 0,0000000000; 231,2378763366; -7,0059975906; -3,8753694690; -4,2790669887; -1,5436572356; 0,0000000000; 5,0000000000; 3,6010856320
10,00;         999; 1,5525139895; 0,0079962921; 0,0000000000; 0,0000000000; 0,0000000000; 0,0964563675; -0,2617164146; 1,5303163551; 0,0000000000; 194,1542371591; -6,1763747176; -3,0486115207; -3,4817766469; -0,7133917950; 0,0000000000; 5,0000000000; 3,8092839972
11,00;         999; 1,6614724330; 0,0094098982; 0,0000000000; 0,0000000000; 0,0000000000; 0,0973777411; -0,3077868739; 1,6327419980; 0,0000000000; 176,5664617581; -6,1061684206; -2,9821695058; -3,4078764161; -0,6431125517; 0,0000000000; 5,0000000000; 4,0429010505
12,00;         999; 1,7683315512; 0,0110190561; 0,0000000000; 0,0000000000; 0,0000000000; 0,0981453209; -0,3568785395; 1,7319802547; 0,0000000000; 160,4794036495; -6,0394857612; -2,9191371194; -3,3355854883; -0,5763802212; 0,0000000000; 5,0000000000; 3,8388272615
13,00;         999; 1,8729232860; 0,0128466105; 0,0000000000; 0,0000000000; 0,0000000000; 0,0987312483; -0,4087987152; 1,8278102421; 0,0000000000; 145,7912406108; -5,9758306095; -2,8588726115; -3,2645332981; -0,5127041006; 0,0000000000; 5,0000000000; 5,6762137724
14,00;         999; 1,9750905531; 0,0149201497; 0,0000000000; 0,0000000000; 0,0000000000; 0,0991129126; -0,4633406931; 1,9200314336; 0,0000000000; 132,3773955401; -5,9146371443; -2,8007305826; -3,1944938626; -0,4515214975; 0,0000000000; 5,0000000000; 5,6382160189
16,00;         999; 2,1713877643; 0,0199046443; 0,0000000000; 0,0000000000; 0,0000000000; 0,0991971377; -0,5793820097; 2,0927583483; 0,0000000000; 109,0895036507; -5,7968965752; -2,6883118767; -3,0572428910; -0,3339089118; 0,0000000000; 5,0000000000; 5,4282582465
18,00;         999; 2,3550469607; 0,0261711397; 0,0000000000; 0,0000000000; 0,0000000000; 0,0982854096; -0,7028593005; 2,2478700851; 0,0000000000; 89,9864120829; -5,6811584187; -2,5783425269; -2,9257877291; -0,2184125141; 0,0000000000; 5,0000000000; 5,2741394076
2,00;         999; 0,6327191946; 0,0023305029; 0,0000000000; 0,0000000000; 0,0000000000; 0,0865400311; -0,0197524982; 0,6324150926; 0,0000000000; 271,4947016362; -6,8859978946; -3,7509262624; -4,1679454970; -1,4235813421; 0,0000000000; 5,0000000000; 3,5711916893
20,00;         999; 2,5227720293; 0,0339479875; 0,0000000000; 0,0000000000; 0,0000000000; 0,0962606824; -0,8309381777; 2,3822411554; 0,0000000000; 74,3128596516; -5,5668531790; -2,4713053491; -2,8045235531; -0,1044048001; 0,0000000000; 5,0000000000; 5,4833597532
3,00;         999; 0,7505133581; 0,0025566293; 0,0000000000; 0,0000000000; 0,0000000000; 0,0878872466; -0,0367257087; 0,7496186093; 0,0000000000; 293,5557990306; -6,7783960069; -3,6404709934; -4,0671229899; -1,3159227480; 0,0000000000; 5,0000000000; 3,5861029186
4,00;         999; 0,8678115477; 0,0029079130; 0,0000000000; 0,0000000000; 0,0000000000; 0,0892244439; -0,0576346440; 0,8659004482; 0,0000000000; 298,4310592876; -6,6788503622; -3,5392002626; -3,9734416075; -1,2163196927; 0,0000000000; 5,0000000000; 3,6349916436
5,00;         999; 0,9844701021; 0,0033880249; 0,0000000000; 0,0000000000; 0,0000000000; 0,0905395872; -0,0824270905; 0,9810191819; 0,0000000000; 290,5734527784; -6,5851037679; -3,4449068201; -3,8846637818; -1,1225161049; 0,0000000000; 5,0000000000; 3,5791506861
6,00;         999; 1,1003596226; 0,0040062175; 0,0000000000; 0,0000000000; 0,0000000000; 0,0918249563; -0,1110346293; 1,0947505013; 0,0000000000; 274,6629737024; -6,4957784258; -3,3563152333; -3,7991681248; -1,0331304075; 0,0000000000; 5,0000000000; 3,6378067278
7,00;         999; 1,2153308457; 0,0047704404; 0,0000000000; 0,0000000000; 0,0000000000; 0,0930742958; -0,1433766899; 1,2068533243; 0,0000000000; 254,7628193831; -6,4102270276; -3,2726467504; -3,7162477010; -0,9475078331; 0,0000000000; 5,0000000000; 4,1293343354
