"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -0.2962919954, 0.5440954150, 0.0000000000, 0.0000000000, 0.0000000000, 0.0536818347, 0.5334235253, -0.3151001585, 0.0000000000, -0.5445588903, -4.7074188324, -5.9903595151, -7.4472757101, -4.1631820357, 0.0000000000, 5.0000000000, 5.0000000000, 0.0039000000
           1, -0.0073106793, -0.0393590456, 0.0000000000, 0.0000000000, 0.0000000000, -0.0052073614, -0.0395902081, -0.0059326149, 0.0000000000, 0.1857433065, -4.7320542790, -5.1410678005, -4.9809111531, -4.1809721818, 0.0000000000, 5.0000000000, 5.0000000000, 0.0083166667
           2, -0.0390132781, 0.0501244266, 0.0000000000, 0.0000000000, 0.0000000000, 0.0185921574, 0.0487323484, -0.0407388296, 0.0000000000, -0.7783286669, -5.1996229469, -5.4682918264, -5.2793284758, -4.6505378778, 0.0000000000, 5.0000000000, 5.0000000000, 0.0122166667
           3, -0.0319318827, 0.0182984253, 0.0000000000, 0.0000000000, 0.0000000000, 0.0053895076, 0.0171728718, -0.0325510365, 0.0000000000, -1.7450617824, -5.5944697840, -5.7741987540, -5.6581239277, -5.0582842840, 0.0000000000, 5.0000000000, 5.0000000000, 0.0161166667
           4, -0.0491878421, 0.0163227915, 0.0000000000, 0.0000000000, 0.0000000000, 0.0046711580, 0.0145962171, -0.0497275354, 0.0000000000, -3.0134454763, -5.9598961261, -6.0374799854, -5.9695434810, -5.4213306057, 0.0000000000, 5.0000000000, 5.0000000000, 0.0197666667
           5, -0.0591307198, 0.0135317949, 0.0000000000, 0.0000000000, 0.0000000000, 0.0019578858, 0.0114599193, -0.0595669518, 0.0000000000, -4.3697617581, -6.1822641811, -6.1955526585, -6.1475017567, -5.6485779238, 0.0000000000, 5.0000000000, 5.0000000000, 0.0236666667
           6, -0.0718681602, 0.0130909789, 0.0000000000, 0.0000000000, 0.0000000000, 0.0007210315, 0.0105748416, -0.0722812486, 0.0000000000, -5.4898996482, -6.4518117807, -6.3482173836, -6.2657677209, -5.9274625185, 0.0000000000, 5.0000000000, 5.0000000000, 0.0278166667
           7, -0.0844245658, 0.0130133328, 0.0000000000, 0.0000000000, 0.0000000000, -0.0009642708, 0.0100590305, -0.0848272954, 0.0000000000, -6.4875437550, -6.6176026041, -6.4015328975, -6.3217151153, -6.0941569704, 0.0000000000, 5.0000000000, 5.0000000000, 0.0314666667
           8, -0.0958681121, 0.0130691881, 0.0000000000, 0.0000000000, 0.0000000000, -0.0022970868, 0.0097154779, -0.0962658199, 0.0000000000, -7.3354298053, -6.7031270055, -6.4283589383, -6.3522788192, -6.1828990403, 0.0000000000, 5.0000000000, 5.0000000000, 0.0353666667
           9, -0.1059017692, 0.0130149445, 0.0000000000, 0.0000000000, 0.0000000000, -0.0033184832, 0.0093110977, -0.1062914717, 0.0000000000, -8.1369359340, -6.7399626829, -6.4407255029, -6.3698448054, -6.2218504402, 0.0000000000, 5.0000000000, 5.0000000000, 0.0392666667
          10, -0.1146538471, 0.0129471690, 0.0000000000, 0.0000000000, 0.0000000000, -0.0040618353, 0.0089379204, -0.1150358528, 0.0000000000, -8.8555148257, -6.7634084793, -6.4477371212, -6.3828063586, -6.2459165552, 0.0000000000, 5.0000000000, 5.0000000000, 0.0431666667
          11, -0.1221716131, 0.0128318355, 0.0000000000, 0.0000000000, 0.0000000000, -0.0045959445, 0.0085602908, -0.1225450141, 0.0000000000, -9.5209772300, -6.7774652291, -6.4526567756, -6.3944074270, -6.2594819846, 0.0000000000, 5.0000000000, 5.0000000000, 0.0468000000
          12, -0.1285130696, 0.0126416110, 0.0000000000, 0.0000000000, 0.0000000000, -0.0049446277, 0.0081488686, -0.1288759688, 0.0000000000, -10.1658775753, -6.7861759296, -6.4565323530, -6.4048820351, -6.2677687780, 0.0000000000, 5.0000000000, 5.0000000000, 0.0509666667
