"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.7441313825, 0.8495041540, 0.0000000000, 0.0000000000, 0.0000000000, 0.4531591664, 0.5011004131, 1.8741798108, 0.0000000000, 2.0531169556, -4.3857045808, -5.6764340460, -6.3877817775, -3.8414677841, 0.0000000000, 5.0000000000, 5.0000000000, 0.0039000000
           1, 0.5027452420, 0.0492857015, 0.0000000000, 0.0000000000, 0.0000000000, -0.0322595472, -0.0475481302, 0.5029125511, 0.0000000000, 10.2006307402, -4.3869748255, -4.8627881067, -4.6182789792, -3.8371208878, 0.0000000000, 5.0000000000, 5.0000000000, 0.0083166667
           2, 0.5870092123, 0.1347649129, 0.0000000000, 0.0000000000, 0.0000000000, -0.0175631028, 0.0202822638, 0.6019385574, 0.0000000000, 4.3558015200, -4.8317405960, -5.1739502614, -4.8787692934, -4.2830847242, 0.0000000000, 5.0000000000, 5.0000000000, 0.0127500000
           3, 0.5438514166, 0.0913138850, 0.0000000000, 0.0000000000, 0.0000000000, -0.0421850603, -0.0141355507, 0.5512828450, 0.0000000000, 5.9558457793, -5.2617336989, -5.4359339959, -5.2649358894, -4.7256808861, 0.0000000000, 5.0000000000, 5.0000000000, 0.0166500000
           4, 0.6057783270, 0.0960862880, 0.0000000000, 0.0000000000, 0.0000000000, -0.0257356223, -0.0212670418, 0.6129826010, 0.0000000000, 6.3045241923, -5.6157101387, -5.6531228128, -5.5294433216, -5.0742004491, 0.0000000000, 5.0000000000, 5.0000000000, 0.0205500000
           5, 0.6620327421, 0.1002907281, 0.0000000000, 0.0000000000, 0.0000000000, -0.0166046716, -0.0278736974, 0.6690057091, 0.0000000000, 6.6011360605, -5.8003169169, -5.7382456359, -5.6284803581, -5.2632094184, 0.0000000000, 5.0000000000, 5.0000000000, 0.0241833333
           6, 0.7282046682, 0.1083611204, 0.0000000000, 0.0000000000, 0.0000000000, -0.0034793482, -0.0325777798, 0.7355017740, 0.0000000000, 6.7201655519, -5.9752367484, -5.7866953819, -5.6786752312, -5.4452580663, 0.0000000000, 5.0000000000, 5.0000000000, 0.0283500000
           7, 0.7897529731, 0.1156326280, 0.0000000000, 0.0000000000, 0.0000000000, 0.0078300799, -0.0371838405, 0.7973067322, 0.0000000000, 6.8298454080, -6.0383942688, -5.7973604449, -5.6964002262, -5.5065912045, 0.0000000000, 5.0000000000, 5.0000000000, 0.0322500000
           8, 0.8471848130, 0.1219643314, 0.0000000000, 0.0000000000, 0.0000000000, 0.0180137605, -0.0419269799, 0.8548915334, 0.0000000000, 6.9461686315, -6.0766756514, -5.7980255258, -5.7077637524, -5.5444271684, 0.0000000000, 5.0000000000, 5.0000000000, 0.0361500000
           9, 0.8995219932, 0.1268718109, 0.0000000000, 0.0000000000, 0.0000000000, 0.0264394551, -0.0470960694, 0.9072035234, 0.0000000000, 7.0900067293, -6.0938995449, -5.7967839230, -5.7180595513, -5.5603570410, 0.0000000000, 5.0000000000, 5.0000000000, 0.0400500000
