"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, -8.0042784292, 5.1151112394, 0.0000000000, 0.0000000000, 0.0000000000, 0.2051495787, 4.5443008474, -8.3415925321, 0.0000000000, -1.5648297866, -2.1608519517, -0.9857930642, -2.1411493355, 3.3009731236, 0.0000000000, 5.0000000000, 0.0061755644
           1, -1.3200557684, -0.0842796083, 0.0000000000, 0.0000000000, 0.0000000000, -0.0347345005, -0.1761567430, -1.3109611306, 0.0000000000, 15.6628132739, -2.0596732754, -0.0609917281, 0.1211769892, 3.4062266776, 0.0000000000, 5.0000000000, 0.0133228138
           2, -3.5839081546, 0.9567341831, 0.0000000000, 0.0000000000, 0.0000000000, -0.2190925091, 0.7044028317, -3.6419163374, 0.0000000000, -3.7459810862, -2.2635245857, 0.0367793090, 0.1212473345, 3.2025075218, 0.0000000000, 5.0000000000, 0.0195094180
           3, 0.7138724945, -0.7440374901, 0.0000000000, 0.0000000000, 0.0000000000, -0.2949205231, -0.6924278243, 0.7640349686, 0.0000000000, -0.9594576940, -2.4463321098, -0.0043450436, 0.0306122956, 3.0200866682, 0.0000000000, 5.0000000000, 0.0256397899
           4, 2.0606049932, -0.9018192906, 0.0000000000, 0.0000000000, 0.0000000000, 0.1452746421, -0.7558819660, 2.1184931966, 0.0000000000, -2.2849422437, -2.4662375422, -0.0552046528, -0.0325548625, 3.0053249876, 0.0000000000, 5.0000000000, 0.0319369272
           5, 1.8102589839, -0.4402160428, 0.0000000000, 0.0000000000, 0.0000000000, 0.1752868914, -0.3128664154, 1.8365572028, 0.0000000000, -4.1122058441, -2.4608174130, -0.0743394833, -0.0814460561, 3.0088190204, 0.0000000000, 5.0000000000, 0.0382770405
           6, 1.9150659995, -0.1187884307, 0.0000000000, 0.0000000000, 0.0000000000, 0.5457262784, 0.0150891831, 1.9186872570, 0.0000000000, -16.1216541742, -2.4594242324, -0.0551332899, -0.0570528117, 3.0089705360, 0.0000000000, 5.0000000000, 0.0448065974
           7, 0.4955859646, 0.2665139894, 0.0000000000, 0.0000000000, 0.0000000000, 0.3967380545, 0.3004351040, 0.4757876660, 0.0000000000, 1.8595120121, -2.4738407379, -0.0445213767, -0.0419196367, 2.9962064100, 0.0000000000, 5.0000000000, 0.0512847256
           8, -0.0782881695, 0.2496076216, 0.0000000000, 0.0000000000, 0.0000000000, 0.2540783375, 0.2435384833, -0.0955092109, 0.0000000000, -0.3136449479, -2.4819092795, -0.0358638179, -0.0460953942, 2.9862610139, 0.0000000000, 5.0000000000, 0.0575584933
           9, -0.6351430202, 0.1290805045, 0.0000000000, 0.0000000000, 0.0000000000, -0.0308947823, 0.0844607335, -0.6426000446, 0.0000000000, -4.9205185758, -2.4734307972, -0.0504689446, -0.0697510006, 2.9958759484, 0.0000000000, 5.0000000000, 0.0638124764
