"Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","Time(min)"
           0, 12.6364494681, 5.5402305583, 0.0000000000, 0.0000000000, 0.0000000000, 5.6729991338, 4.4178091693, 13.0712268721, 0.0000000000, 2.2808526351, -2.1315271923, -0.9570648686, -2.0151130863, 3.3302978830, 0.0000000000, 5.0000000000, 0.0035718822
           1, 0.8029010199, 0.0796115081, 0.0000000000, 0.0000000000, 0.0000000000, 0.5312311402, 0.0093311275, 0.8067843392, 0.0000000000, 10.0852381697, -2.0085641457, -0.0916013362, 0.1412204530, 3.4550926484, 0.0000000000, 5.0000000000, 0.0071759001
           2, 8.2158047629, 1.6484868254, 0.0000000000, 0.0000000000, 0.0000000000, 3.0858256609, 0.9261592690, 8.3282162390, 0.0000000000, 4.9838461772, -2.1936404377, 0.0203373826, 0.1520091116, 3.2713356295, 0.0000000000, 5.0000000000, 0.0107425368
           3, -0.0665970258, -0.6329542975, 0.0000000000, 0.0000000000, 0.0000000000, -0.7000045347, -0.6247414021, -0.1215092060, 0.0000000000, 0.1052161682, -2.3896422885, 0.0025963639, 0.0554903203, 3.0761210493, 0.0000000000, 5.0000000000, 0.0142610089
           4, 0.3535154102, -0.6047661166, 0.0000000000, 0.0000000000, 0.0000000000, -0.3904912965, -0.6332756971, 0.2994613373, 0.0000000000, -0.5845489694, -2.4250279715, -0.0176319959, -0.0142059440, 3.0434042756, 0.0000000000, 5.0000000000, 0.0176769731
           5, -2.7259901033, -0.6730587209, 0.0000000000, 0.0000000000, 0.0000000000, -1.4133730841, -0.4329118371, -2.7742778207, 0.0000000000, 4.0501519684, -2.4366543354, -0.0308161875, -0.0321482428, 3.0326352622, 0.0000000000, 5.0000000000, 0.0216368436
           6, -3.5509930057, -0.4670215074, 0.0000000000, 0.0000000000, 0.0000000000, -1.2133190675, -0.1557549167, -3.5781840116, 0.0000000000, 7.6034892388, -2.4066318559, -0.0002020356, 0.0011812560, 3.0627148184, 0.0000000000, 5.0000000000, 0.0252562417
           7, -2.7799347489, -0.1766201801, 0.0000000000, 0.0000000000, 0.0000000000, -0.7092143056, 0.0663391909, -2.7847497209, 0.0000000000, 15.7396213022, -2.3895026625, 0.0318003401, 0.0281316594, 3.0790350474, 0.0000000000, 5.0000000000, 0.0287332132
           8, -1.2605342895, -0.0092837055, 0.0000000000, 0.0000000000, 0.0000000000, -0.1462152717, 0.1006144241, -1.2565467042, 0.0000000000, 135.7792202861, -2.3793433974, 0.0532097610, 0.0529994103, 3.0877771792, 0.0000000000, 5.0000000000, 0.0328495505
           9, 0.8861413167, 0.1340594645, 0.0000000000, 0.0000000000, 0.0000000000, 0.4004680019, 0.0563170231, 0.8944533337, 0.0000000000, 6.6100615871, -2.3651037126, 0.0487647279, 0.0564519312, 3.1012032685, 0.0000000000, 5.0000000000, 0.0372381618
          10, 2.1957312939, 0.2465306753, 0.0000000000, 0.0000000000, 0.0000000000, 0.5757813502, 0.0542219599, 2.2088624375, 0.0000000000, 8.9065236654, -2.3771315285, 0.0199818972, 0.0293885850, 3.0903720631, 0.0000000000, 5.0000000000, 0.0409721839
          11, 2.4571134433, 0.3120258290, 0.0000000000, 0.0000000000, 0.0000000000, 0.5368312021, 0.0966869294, 2.4749582277, 0.0000000000, 7.8747116893, -2.3837067097, 0.0049878725, 0.0017734804, 3.0854586402, 0.0000000000, 5.0000000000, 0.0447144092
          12, 1.8023949428, 0.2646820146, 0.0000000000, 0.0000000000, 0.0000000000, 0.3418105087, 0.1065857497, 1.8186048434, 0.0000000000, 6.8096615675, -2.3952045811, 0.0171946736, 0.0045561612, 3.0717264336, 0.0000000000, 5.0000000000, 0.0482169311
          13, 0.7986303554, 0.1211902773, 0.0000000000, 0.0000000000, 0.0000000000, 0.1365385191, 0.0511238899, 0.8061537544, 0.0000000000, 6.5898880121, -2.4571071021, 0.0074122108, -0.0042044427, 3.0056443113, 0.0000000000, 5.0000000000, 0.0516870393
          14, -0.0587371744, -0.0650076063, 0.0000000000, 0.0000000000, 0.0000000000, -0.0479730435, -0.0596409507, -0.0641794479, 0.0000000000, 0.9035431039, -2.5206950683, -0.0718214193, -0.0883809142, 2.9445678241, 0.0000000000, 5.0000000000, 0.0554669238
          15, -0.5658216682, -0.1955121146, 0.0000000000, 0.0000000000, 0.0000000000, -0.2083964090, -0.1454535243, -0.5807085495, 0.0000000000, 2.8940491451, -2.5392067822, -0.1863778965, -0.2296431930, 2.9318721200, 0.0000000000, 5.0000000000, 0.0590373164
          16, -0.7473028270, -0.2089130033, 0.0000000000, 0.0000000000, 0.0000000000, -0.3135589033, -0.1429862933, -0.7626670821, 0.0000000000, 3.5771005890, -2.5746065515, -0.1950854521, -0.2348485962, 2.8952881126, 0.0000000000, 5.0000000000, 0.0624805486
          17, -0.6439931208, -0.1105628936, 0.0000000000, 0.0000000000, 0.0000000000, -0.3057340445, -0.0540144697, -0.6511787237, 0.0000000000, 5.8246767936, -2.6529127258, -0.1661106533, -0.1773550788, 2.8113496721, 0.0000000000, 5.0000000000, 0.0660300447
